                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.98727,                0.60804,                 1.1202,                0.82361,                0.73585,                0.83212,                0.55775,                 1.2048,                0.74364,                 1.2395,              0.0006668,              0.0006668,              0.0006668
                    103,                0.99589,                0.61422,                 1.1221,                0.80112,                0.74925,                  0.833,                0.55757,                 1.2136,                0.73898,                 1.2482,              0.0006536,              0.0006536,              0.0006536
                    104,                0.98486,                0.60485,                 1.1138,                0.81183,                0.73507,                0.82665,                0.55628,                 1.2136,                0.74491,                 1.2514,              0.0006404,              0.0006404,              0.0006404
                    105,                0.99777,                0.60929,                 1.1236,                0.81452,                0.73478,                0.82715,                0.55478,                 1.2084,                0.74865,                 1.2494,              0.0006272,              0.0006272,              0.0006272
                    106,                0.98475,                0.60189,                 1.1214,                 0.8184,                0.73323,                0.83071,                0.55618,                 1.2098,                 0.7449,                 1.2469,               0.000614,               0.000614,               0.000614
                    107,                0.98634,                0.60229,                 1.1143,                0.80772,                0.74708,                0.82911,                0.55492,                 1.2115,                0.74968,                 1.2534,              0.0006008,              0.0006008,              0.0006008
                    108,                0.97783,                0.59679,                 1.1152,                0.81727,                0.73424,                0.82708,                0.55733,                 1.2004,                0.74859,                  1.246,              0.0005876,              0.0005876,              0.0005876
                    109,                0.99533,                0.61008,                 1.1182,                0.82378,                0.73218,                0.82753,                0.55588,                 1.1997,                 0.7492,                 1.2366,              0.0005744,              0.0005744,              0.0005744
                    110,                0.99196,                0.60469,                 1.1157,                0.81711,                0.74638,                0.83002,                0.55812,                  1.204,                0.73974,                 1.2454,              0.0005612,              0.0005612,              0.0005612
                    111,                0.99952,                0.60868,                  1.111,                0.81132,                0.74401,                0.83095,                0.55664,                 1.2038,                0.74029,                 1.2462,               0.000548,               0.000548,               0.000548
                    112,                0.97658,                0.60003,                 1.1186,                0.79623,                0.76348,                0.83254,                 0.5577,                    1.2,                0.73968,                 1.2376,              0.0005348,              0.0005348,              0.0005348
                    113,                0.98049,                0.59541,                 1.1123,                0.80133,                0.75401,                0.82895,                0.55739,                 1.2033,                0.73917,                 1.2392,              0.0005216,              0.0005216,              0.0005216
                    114,                0.96313,                0.59228,                 1.1113,                0.80231,                0.75809,                0.82971,                0.55643,                 1.2032,                0.74511,                 1.2394,              0.0005084,              0.0005084,              0.0005084
                    115,                0.98088,                0.59984,                 1.1128,                 0.8078,                0.74967,                0.83053,                0.56003,                  1.205,                0.73987,                 1.2415,              0.0004952,              0.0004952,              0.0004952
                    116,                0.97217,                0.58577,                  1.106,                 0.8209,                 0.7377,                0.82791,                 0.5532,                 1.2155,                0.75771,                 1.2484,               0.000482,               0.000482,               0.000482
                    117,                0.97691,                0.59019,                 1.1077,                0.81391,                0.73759,                0.82869,                0.55581,                 1.2106,                0.74945,                 1.2425,              0.0004688,              0.0004688,              0.0004688
                    118,                0.95428,                0.59011,                 1.1001,                0.82135,                0.73139,                0.82854,                0.55621,                 1.2088,                0.74328,                 1.2489,              0.0004556,              0.0004556,              0.0004556
                    119,                0.96581,                0.59053,                  1.107,                0.78766,                0.75033,                0.82581,                0.55534,                 1.2113,                0.74769,                 1.2454,              0.0004424,              0.0004424,              0.0004424
                    120,                0.95935,                0.58161,                 1.1054,                0.82277,                0.72691,                0.82703,                0.55539,                 1.2107,                0.75286,                 1.2436,              0.0004292,              0.0004292,              0.0004292
                    121,                0.95228,                0.57997,                 1.1003,                0.80291,                0.73951,                0.82503,                0.55568,                 1.2113,                0.75598,                 1.2422,               0.000416,               0.000416,               0.000416
                    122,                0.96904,                0.58407,                  1.104,                0.81647,                0.73612,                0.82492,                0.55412,                 1.2104,                0.75102,                 1.2412,              0.0004028,              0.0004028,              0.0004028
                    123,                0.96837,                0.59006,                 1.0993,                0.80148,                0.74401,                0.82425,                0.55263,                 1.2115,                0.75484,                 1.2431,              0.0003896,              0.0003896,              0.0003896
                    124,                0.96077,                0.58026,                 1.1036,                0.81059,                0.74761,                0.82974,                0.55639,                 1.2107,                0.74662,                 1.2422,              0.0003764,              0.0003764,              0.0003764
                    125,                0.95338,                 0.5809,                 1.0973,                 0.7947,                0.75463,                0.82739,                0.55472,                 1.2113,                0.74126,                 1.2467,              0.0003632,              0.0003632,              0.0003632
                    126,                0.97337,                0.58811,                 1.1028,                0.80502,                0.73586,                0.82065,                0.55329,                 1.2127,                0.75319,                 1.2459,                0.00035,                0.00035,                0.00035
                    127,                0.94931,                0.57705,                 1.0971,                 0.8078,                0.73244,                0.82314,                0.55256,                 1.2097,                0.75334,                 1.2452,              0.0003368,              0.0003368,              0.0003368
                    128,                0.94022,                0.57178,                 1.0939,                0.77947,                0.76066,                0.82623,                0.55418,                 1.2099,                0.74903,                 1.2435,              0.0003236,              0.0003236,              0.0003236
                    129,                0.96317,                0.57872,                  1.094,                0.82213,                0.72928,                0.82503,                0.55367,                 1.2107,                0.75376,                 1.2406,              0.0003104,              0.0003104,              0.0003104
                    130,                0.94633,                 0.5705,                  1.092,                0.79962,                0.74226,                0.82389,                0.55192,                 1.2125,                0.75718,                 1.2457,              0.0002972,              0.0002972,              0.0002972
                    131,                0.93917,                0.56416,                 1.0904,                0.81382,                0.73375,                0.82484,                0.55473,                 1.2056,                0.75534,                 1.2413,               0.000284,               0.000284,               0.000284
                    132,                0.94982,                 0.5713,                  1.087,                 0.8137,                0.73717,                 0.8266,                 0.5555,                 1.2084,                 0.7477,                 1.2436,              0.0002708,              0.0002708,              0.0002708
                    133,                0.94555,                0.57263,                 1.0902,                 0.8097,                0.73432,                0.82391,                0.55318,                 1.2093,                  0.756,                 1.2434,              0.0002576,              0.0002576,              0.0002576
                    134,                0.94965,                0.57503,                  1.095,                 0.8098,                0.73744,                0.82315,                0.55294,                  1.214,                0.75422,                 1.2441,              0.0002444,              0.0002444,              0.0002444
                    135,                0.92571,                0.56294,                 1.0882,                0.81068,                0.73823,                0.82636,                0.55452,                 1.2078,                0.74956,                 1.2425,              0.0002312,              0.0002312,              0.0002312
                    136,                 0.9266,                0.56074,                 1.0867,                0.79454,                0.74822,                 0.8246,                0.55458,                 1.2073,                0.75077,                 1.2412,               0.000218,               0.000218,               0.000218
